STAID,LAT_GAGE,LNG_GAGE,HYDRO_DISTURB_INDX,BAS_COMPACTNESS,DRAIN_SQKM,GEOL_REEDBUSH_DOM,GEOL_REEDBUSH_DOM_PCT,SNOW_PCT_PRECIP,STREAMS_KM_SQ_KM,STRAHLER_MAX,MAINSTEM_SINUOUSITY,BFI_AVE,CONTACT,PCT_1ST_ORDER,PCT_2ND_ORDER,PCT_3RD_ORDER,PCT_4TH_ORDER,PCT_5TH_ORDER,PCT_6TH_ORDER_OR_MORE,DDENS_2009,STOR_NOR_2009,NPDES_MAJ_DENS,DEVNLCD06,FORESTNLCD06,PLANTNLCD06,WATERNLCD06,WOODYWETNLCD06,EMERGWETNLCD06,NITR_APP_KG_SQKM,PHOS_APP_KG_SQKM,PESTAPP_KG_SQKM,ECO2_BAS_DOM,ECO3_BAS_DOM,NUTR_BAS_DOM,HLR_BAS_DOM_100M,PNV_BAS_DOM,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,ROCKDEPAVE,CLAYAVE,SILTAVE,KFACT_UP,RFACT,ELEV_MEAN_M_BASIN,SLOPE_PCT,ASPECT_DEGREES,Group
1594440,38.955917,-76.693694,28,1.67,906.6,1,100.0,12.5,0.89,5,1.42,54.0,195.0,63.72,10.8,8.71,11.24,2.73,0.0,3.31,49.4,0.99,31.86,33.04,26.4,0.7,5.49,0.05,2435.9,493.3,33.5,8.3,64,9,11,49,0.14,2.55,1.38,0.63,4.78,56.55,19.65,47.32,0.33,149.26,116.0,3.6,122.0,Other
1594526,38.814222,-76.748722,17,2.06,233.6,1,100.0,11.1,0.72,3,1.24,44.7,192.9,70.65,21.57,7.78,0.0,0.0,0.0,3.0,4.3,0.0,50.38,31.59,10.43,0.26,4.74,0.04,2436.0,476.2,34.5,8.3,65,9,7,55,0.14,3.55,1.46,0.85,4.46,56.04,18.06,37.27,0.36,162.39,43.1,2.7,90.8,Urban
1604500,39.443149,-78.821965,24,1.66,570.8,1,100.0,16.6,0.94,5,1.37,40.5,34.9,65.64,15.22,8.14,8.51,0.35,0.0,4.91,18.71,0.0,4.15,76.61,18.74,0.34,0.0,0.0,1439.8,459.9,5.1,8.4,67,11,15,55,0.1,3.94,1.39,0.89,5.39,36.3,20.5,49.69,0.24,95.39,406.2,14.6,90.2,Undeveloped
1608500,39.447039,-78.654182,21,1.23,3784.1,1,100.0,17.4,0.81,7,1.43,39.9,16.8,66.9,13.5,6.7,5.69,2.6,3.79,0.85,0.99,0.08,3.91,80.54,14.87,0.48,0.0,0.0,1976.5,635.0,9.0,8.4,67,11,15,50,0.1,4.81,1.39,0.76,5.35,39.22,20.28,48.75,0.23,103.08,655.8,20.9,16.3,Undeveloped
1611500,39.582316,-78.309731,13,1.42,1748.5,1,100.0,15.6,0.8,5,1.69,39.1,25.0,59.09,17.24,7.19,8.51,6.13,0.0,0.51,0.96,0.0,3.61,84.47,11.28,0.44,0.0,0.0,1485.4,482.3,12.3,8.4,67,11,15,55,0.09,5.97,1.38,0.79,5.56,35.18,17.55,47.27,0.21,108.06,484.1,15.6,25.9,Undeveloped
1614500,39.716389,-77.824778,20,0.94,1309.5,1,96.3,17.5,0.76,5,2.36,48.2,198.8,56.92,14.13,7.15,14.48,3.09,0.0,0.76,5.87,0.15,12.42,38.22,47.98,0.48,0.62,0.23,5861.8,1475.7,110.2,8.4,67,11,9,49,0.12,3.84,1.39,0.69,5.12,49.78,23.59,50.47,0.25,122.7,265.2,7.8,203.2,Other
1616500,39.42371,-77.938608,16,2.53,706.4,1,100.0,13.4,0.69,4,2.17,49.8,2398.4,62.99,17.63,8.95,9.82,0.0,0.0,0.85,0.34,0.42,17.92,30.53,50.45,0.21,0.18,0.14,2720.7,816.5,255.2,8.4,67,11,9,49,0.13,1.75,1.39,0.64,5.48,48.25,36.77,46.87,0.31,121.71,197.8,3.2,85.7,Other
1621050,38.48679,-78.960307,12,2.51,37.2,1,100.0,13.2,0.22,1,1.14,44.5,268.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.91,26.29,66.79,0.03,0.0,0.0,16297.8,4791.4,87.9,8.4,67,11,9,55,0.13,1.84,1.37,0.39,5.92,52.45,49.39,33.73,0.31,99.39,488.0,7.8,141.5,Other
1631000,38.914001,-78.210834,19,1.09,4230.5,1,96.8,14.4,0.51,5,2.3,47.5,229.5,59.02,16.7,6.6,6.06,8.65,0.0,1.04,4.76,0.21,10.72,55.62,32.94,0.59,0.01,0.0,5491.0,1633.8,27.7,8.4,67,11,9,55,0.12,3.31,1.41,0.57,5.54,45.12,31.76,42.53,0.27,121.25,500.9,12.7,27.6,Other
1634000,38.976776,-78.336115,16,1.61,1995.2,1,100.0,13.6,0.44,4,2.37,43.7,249.4,54.47,14.0,13.17,17.29,0.0,0.0,0.55,1.1,0.05,6.86,58.52,34.12,0.43,0.0,0.0,5676.7,1685.5,68.7,8.4,67,11,9,55,0.11,3.28,1.39,0.63,5.62,41.34,31.8,42.55,0.27,106.94,442.6,12.8,99.0,Other
