Station,Error Reason
01549700.csv,Not enough valid data for 00605 (only 0 points)
01549700.csv,Not enough valid data for 00618 (only 0 points)
01549700.csv,Not enough valid data for 00681 (only 0 points)
01549700.csv,Not enough valid data for 00930 (only 0 points)
01549700.csv,Not enough valid data for 00935 (only 0 points)
01549700.csv,Not enough valid data for 00955 (only 0 points)
01553500.csv,Not enough valid data for 00681 (only 0 points)
01558000.csv,Not enough valid data for 00605 (only 0 points)
01558000.csv,Not enough valid data for 00618 (only 0 points)
01558000.csv,Not enough valid data for 00681 (only 0 points)
01558000.csv,Not enough valid data for 00915 (only 0 points)
01558000.csv,Not enough valid data for 00925 (only 0 points)
01558000.csv,Not enough valid data for 00930 (only 0 points)
01558000.csv,Not enough valid data for 00935 (only 0 points)
01558000.csv,Not enough valid data for 00955 (only 0 points)
01567000.csv,Not enough valid data for 00681 (only 1 points)
01576754.csv,Not enough valid data for 00681 (only 0 points)
01576754.csv,Not enough valid data for 00915 (only 1 points)
01576754.csv,Not enough valid data for 00925 (only 1 points)
01576754.csv,Not enough valid data for 00930 (only 1 points)
01576754.csv,Not enough valid data for 00935 (only 1 points)
01576754.csv,Not enough valid data for 00940 (only 1 points)
01576754.csv,Not enough valid data for 00955 (only 1 points)
422026250.csv,Not enough valid data for 00405 (only 0 points)
422026250.csv,Not enough valid data for 00955 (only 1 points)
01604500.csv,Not enough valid data for 00681 (only 0 points)
01604500.csv,Not enough valid data for 00915 (only 0 points)
01604500.csv,Not enough valid data for 00925 (only 0 points)
01604500.csv,Not enough valid data for 00930 (only 0 points)
01604500.csv,Not enough valid data for 00935 (only 0 points)
01604500.csv,Not enough valid data for 00940 (only 0 points)
01604500.csv,Not enough valid data for 00945 (only 0 points)
01604500.csv,Not enough valid data for 00955 (only 0 points)
01608500.csv,Not enough valid data for 00945 (only 0 points)
01608500.csv,Not enough valid data for 00955 (only 0 points)
01611500.csv,Not enough valid data for 00681 (only 0 points)
01611500.csv,Not enough valid data for 00915 (only 0 points)
01611500.csv,Not enough valid data for 00925 (only 0 points)
01611500.csv,Not enough valid data for 00930 (only 0 points)
01611500.csv,Not enough valid data for 00935 (only 0 points)
01611500.csv,Not enough valid data for 00940 (only 0 points)
01611500.csv,Not enough valid data for 00945 (only 0 points)
01611500.csv,Not enough valid data for 00955 (only 0 points)
01616500.csv,Not enough valid data for 00681 (only 0 points)
01616500.csv,Not enough valid data for 00915 (only 1 points)
01616500.csv,Not enough valid data for 00925 (only 1 points)
01616500.csv,Not enough valid data for 00930 (only 0 points)
01616500.csv,Not enough valid data for 00935 (only 0 points)
01616500.csv,Not enough valid data for 00940 (only 1 points)
01616500.csv,Not enough valid data for 00945 (only 0 points)
01616500.csv,Not enough valid data for 00955 (only 0 points)
01631000.csv,Not enough valid data for 00681 (only 0 points)
01634000.csv,Not enough valid data for 00681 (only 0 points)
01646305.csv,Not enough valid data for 00405 (only 0 points)
01646305.csv,Not enough valid data for 00681 (only 0 points)
01646305.csv,Not enough valid data for 00915 (only 0 points)
01646305.csv,Not enough valid data for 00925 (only 0 points)
01646305.csv,Not enough valid data for 00930 (only 0 points)
01646305.csv,Not enough valid data for 00935 (only 0 points)
01646305.csv,Not enough valid data for 00940 (only 0 points)
01646305.csv,Not enough valid data for 00945 (only 0 points)
01646305.csv,Not enough valid data for 00955 (only 0 points)
01649190.csv,Not enough valid data for 00405 (only 0 points)
01649190.csv,Not enough valid data for 00681 (only 0 points)
01649190.csv,Not enough valid data for 00915 (only 0 points)
01649190.csv,Not enough valid data for 00925 (only 0 points)
01649190.csv,Not enough valid data for 00930 (only 0 points)
01649190.csv,Not enough valid data for 00935 (only 0 points)
01649190.csv,Not enough valid data for 00945 (only 0 points)
01649190.csv,Not enough valid data for 00955 (only 0 points)
01649500.csv,Not enough valid data for 00681 (only 0 points)
01656903.csv,Not enough valid data for 00405 (only 0 points)
01656903.csv,Not enough valid data for 00681 (only 0 points)
01656903.csv,Not enough valid data for 00915 (only 0 points)
01656903.csv,Not enough valid data for 00925 (only 0 points)
01656903.csv,Not enough valid data for 00930 (only 0 points)
01656903.csv,Not enough valid data for 00935 (only 0 points)
01656903.csv,Not enough valid data for 00940 (only 0 points)
01656903.csv,Not enough valid data for 00945 (only 0 points)
01656903.csv,Not enough valid data for 00955 (only 0 points)
01658000.csv,Not enough valid data for 00405 (only 0 points)
01658000.csv,Not enough valid data for 00681 (only 0 points)
01658000.csv,Not enough valid data for 00915 (only 0 points)
01658000.csv,Not enough valid data for 00925 (only 0 points)
01658000.csv,Not enough valid data for 00930 (only 0 points)
