STATION_ID,LAT_GAGE,LNG_GAGE,60,runoff,pr,sph,srad,tmmn,tmmx,pet,etr,ph,Conduc,Ca,Mg,K,Na,NH4,NO3,Cl,SO4,distNTN,LAI,FAPAR,NPP,HYDRO_DISTURB_INDX,BAS_COMPACTNESS,DRAIN_SQKM,GEOL_REEDBUSH_DOM,GEOL_REEDBUSH_DOM_PCT,SNOW_PCT_PRECIP,STREAMS_KM_SQ_KM,STRAHLER_MAX,MAINSTEM_SINUOUSITY,BFI_AVE,CONTACT,PCT_1ST_ORDER,PCT_2ND_ORDER,PCT_3RD_ORDER,PCT_4TH_ORDER,PCT_5TH_ORDER,PCT_6TH_ORDER_OR_MORE,DDENS_2009,STOR_NOR_2009,NPDES_MAJ_DENS,DEVNLCD06,FORESTNLCD06,PLANTNLCD06,WATERNLCD06,WOODYWETNLCD06,EMERGWETNLCD06,NITR_APP_KG_SQKM,PHOS_APP_KG_SQKM,PESTAPP_KG_SQKM,ECO2_BAS_DOM,ECO3_BAS_DOM,NUTR_BAS_DOM,HLR_BAS_DOM_100M,PNV_BAS_DOM,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,ROCKDEPAVE,CLAYAVE,SILTAVE,KFACT_UP,RFACT,ELEV_MEAN_M_BASIN,SLOPE_PCT,ASPECT_DEGREES,Cluster
6906300,39.454914,-92.568497,196.9229435,0.311242837,2.816981795,0.007079327,177.6202587,279.1872317,291.0043342,3.306894937,4.50395871,5.392277527,15.75292178,0.584933106,0.055460688,0.046225518,0.117103757,0.535031887,1.730840892,0.164338927,1.683867139,116271.9141,150.4552785,101.917662,180.0110748,22,0.68,565,1,100,11.7,0.82,4,1.46,18.1,1127.7,51.37,19.25,15.81,12.91,0,0,4.96,99.04,0,5.77,27.81,56.07,3.82,2.23,0.25,2431.7,577.5,34.3,9.2,40,9,7,39,0.15,0.57,1.49,0.67,3.24,59.66,35.51,42.2,0.33,183.14,255.1,2.7,192.3,3
6918070,38.055861,-94.145417,5132.627074,0.319659404,2.899505632,0.007548613,183.9290723,280.3617649,292.569406,3.533655241,4.810741527,5.451179306,15.30790684,0.664779446,0.04946809,0.048006968,0.134336928,0.544161478,1.721245053,0.189171448,1.671080016,108913.3325,141.6808654,99.0850992,171.8853428,24,1.24,14338.5,1,100,7.3,0.91,6,2.4,17.2,786,61.21,16.7,10.16,5.95,3.21,2.24,3.77,41.19,0.01,5.64,12.09,63.37,1.45,2.47,0.21,4171,808.2,46.6,9.2,40,9,8,39,0.17,0.75,1.44,0.99,3.12,49.98,36.69,52.33,0.37,246.35,295.5,2,137.2,3
6921070,37.682653,-93.370333,287.6142948,0.360426026,3.187736939,0.007711518,184.107233,280.3952902,292.686056,3.407377203,4.569525945,5.421203514,15.40219441,0.635436213,0.048670099,0.047371611,0.133567936,0.543170358,1.728806342,0.191555453,1.693303416,137138.5915,209.5145232,137.6646653,229.8660924,13,1.78,712.6,1,100,8.2,1.03,5,1.61,34.1,210.8,65.12,14.62,10.64,5.17,4.44,0,0.84,0.64,0,5.2,35.99,56.35,0.07,0.57,0,4865,1188.8,8.1,8.4,39,11,9,39,0.1,1.81,1.38,0.48,4.83,55.49,38.21,42.41,0.29,222.68,360.8,3.7,281.8,6
6926510,38.421444,-92.20825,11808.65278,0.278177579,3.004629688,0.007537744,183.6749914,280.3548537,292.617684,3.493831349,4.73677761,5.211340944,16.09894658,0.482942066,0.051405282,0.045384798,0.118617981,0.475163616,1.664035522,0.170956994,1.726879389,88962.99324,177.9736995,116.2772423,239.3075883,21,1.11,37907.9,1,100,8,0.92,8,2.38,23.7,528,61.82,16.67,9.92,5.22,3.09,2.76,2.28,157.62,0.03,5.82,29.69,53.02,2.3,1.88,0.27,3688.7,826.1,29.5,9.2,40,9,9,39,0.14,1.17,1.4,0.82,3.94,50.23,37.67,47.73,0.33,236.66,288.8,3.2,141.1,6
7014500,38.158531,-91.108458,1417.558014,0.329184608,3.180077945,0.007439982,182.3766298,279.5485855,292.7193234,3.398944225,4.580667718,5.146544084,16.56498013,0.452364833,0.051046934,0.044894083,0.117961185,0.466933973,1.648296839,0.172967969,1.776381775,122619.2458,252.1759465,146.1233694,235.5761215,17,1.71,3845.5,1,100,10.2,1.03,9,2.32,26.5,181,65.22,15.15,8.69,4.14,2.57,4.04,2.96,13.25,0.1,4.54,72.83,18.81,0.22,0.33,0.01,1292.6,324.8,2.9,8.4,39,11,9,45,0.09,2.06,1.38,0.34,4.73,57.8,36.66,37.75,0.31,208.25,320,6,353.9,6
7018100,38.159614,-90.706042,812.4523766,0.379952885,3.109003903,0.007402693,181.5570199,279.6693888,292.3386201,3.384296261,4.577669113,4.930909973,18.81809919,0.377548644,0.046738561,0.042329705,0.116402895,0.439887383,1.61296979,0.190858766,1.97383,130361.4003,245.2572948,146.1174247,231.2261151,23,2.42,1909.5,1,98.5,10.6,1.04,6,1.66,29.3,215.5,64.86,16.24,8.06,3.48,6.29,0.62,6.76,57.54,0.05,6.15,72.03,17.44,0.56,0.4,0,1331.5,341.3,3.8,8.4,39,11,9,45,0.12,1.45,1.38,0.54,5.13,52.34,37.2,46.77,0.32,208.72,280.5,5.9,28,6
7036100,37.3845,-90.47386,911.5906685,0.475385735,3.265028407,0.00737999,181.9409957,279.4429434,292.6146636,3.466783572,4.72641075,4.898860144,18.05993635,0.327236116,0.048338664,0.053796165,0.131255701,0.392933399,1.552440027,0.218043388,1.801999704,85140.29143,252.5969645,148.1517429,235.5689929,13,2.09,1712.4,1,49.88,10.7,1.03,6,3.02,26.7,172.2,65.67,15.51,9.83,4.39,1.16,2.84,2.16,11.72,0.12,5.33,69.71,21.39,0.51,0.76,0.04,1613.5,412.2,4.3,8.4,39,11,9,45,0.12,1.62,1.37,0.48,4.63,48.79,28.9,50.55,0.29,223.23,287.9,7.1,160.9,6
7040000,36.790278,-90.201667,1572.120008,0.408955485,3.319016834,0.007496009,182.7767793,279.6839568,292.9673673,3.446480788,4.664600005,4.869998153,18.1551395,0.30917618,0.046753924,0.056430661,0.13598956,0.379626535,1.535739855,0.222972715,1.80674641,58199.33464,258.1290213,149.0929024,235.5592835,15,1.11,3432.9,1,70.3,10.6,0.97,6,2.2,30,211.7,64.12,16.01,9.93,2.96,0.93,5.26,2.18,230.1,0.09,4.32,75.09,15.86,1.41,0.94,0.23,1147.1,286.9,5.3,8.4,39,11,9,55,0.11,1.91,1.38,0.41,4.66,53.26,30.89,46.02,0.29,231.34,241.7,7.3,151.6,6
7040100,36.455893,-90.137042,2200.466524,0.449105628,3.344534771,0.007651782,183.3556265,280.1958216,293.1572315,3.434707573,4.62032921,4.863846185,17.94403676,0.291515381,0.045707895,0.05692424,0.141254596,0.368106374,1.507621719,0.228030578,1.759566866,84537.209,231.8027014,138.0306402,219.9005495,20,0.61,4375.4,1,65.7,10,0.96,6,2.01,31.6,608.3,58.69,16.19,9.33,2.59,0.73,5.41,1.92,180.65,0.07,4.59,60.58,29.9,1.42,1.57,0.2,2896.5,592.1,58.3,8.4,39,11,9,55,0.13,1.82,1.39,0.48,4.12,54.73,29.48,48.72,0.32,241.32,212.5,5.9,175.4,6
7040450,35.821186,-90.432326,2659.222426,0.386335078,3.373599808,0.007856433,184.7283809,280.9100831,293.5059067,3.464209501,4.640281662,4.853133686,16.24113028,0.230292726,0.038950582,0.047908912,0.148993327,0.30334207,1.32520883,0.242502929,1.534430157,133476.0913,206.7561165,126.4093016,204.0438665,22,0.74,6146.7,1,50.5,9.2,1.02,7,1.91,33.7,1247,56.09,15.73,10.34,3.98,1.84,5.7,1.79,130.84,0.07,5.15,48.51,38.72,1.48,4.13,0.68,3433,635.6,94.1,8.4,39,11,9,55,0.14,1.62,1.41,0.47,3.65,56.27,28.55,52.6,0.35,256.45,178.5,4.6,150.4,6
