staid,00010_kge,00010_r2,00010_pbias,00095_kge,00095_r2,00095_pbias,00300_kge,00300_r2,00300_pbias,00400_kge,00400_r2,00400_pbias,00405_kge,00405_r2,00405_pbias,00600_kge,00600_r2,00600_pbias,00605_kge,00605_r2,00605_pbias,00618_kge,00618_r2,00618_pbias,00660_kge,00660_r2,00660_pbias,00665_kge,00665_r2,00665_pbias,00681_kge,00681_r2,00681_pbias,00915_kge,00915_r2,00915_pbias,00925_kge,00925_r2,00925_pbias,00930_kge,00930_r2,00930_pbias,00935_kge,00935_r2,00935_pbias,00940_kge,00940_r2,00940_pbias,00945_kge,00945_r2,00945_pbias,00955_kge,00955_r2,00955_pbias,71846_kge,71846_r2,71846_pbias,80154_kge,80154_r2,80154_pbias
01208500,0.951924,0.91,0.706,0.53207475,0.418,6.367,0.8523892,0.733,2.75,-0.27636233,0.075,1.001,,,,0.67828196,0.581,5.194,0.31007746,0.194,2.288,0.60068303,0.4,8.638,0.33075404,0.212,5.114,0.48155674,0.312,14.444,,,,0.5501307,0.456,4.704,0.63486826,0.518,4.858,,,,,,,0.3058825,0.281,3.391,0.47855866,0.427,4.638,0.54177916,0.321,2.155,0.44002128,0.376,0.452,,,
01208990,0.8968207,0.899,5.901,0.64665323,0.428,2.68,0.75015026,0.615,2.155,-1.800911,0.015,2.724,,,,0.26340082,0.237,4.464,0.20510566,0.222,11.777,,,,,,,0.20344314,0.18,14.686,,,,,,,,,,,,,,,,0.66550946,0.478,3.052,0.49128437,0.283,4.171,,,,,,,,,
01331095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21618676,0.327,11.18
01349150,0.85054916,0.862,1.462,0.4864025,0.385,4.59,0.7530982,0.605,2.45,-3.34729,0.025,1.477,0.18512969,0.093,4.734,0.7149632,0.54,7.167,0.53101146,0.483,0.386,0.6866366,0.52,13.744,0.60701257,0.592,1.843,0.30360055,0.652,10.771,,,,0.4846089,0.397,8.883,0.5586118,0.478,8.275,0.6302879,0.453,1.574,0.30088127,0.128,3.937,0.61041576,0.374,2.872,0.58965486,0.642,10.104,0.21154046,0.095,2.295,-0.040360525,0.016,1.713,0.22782095,0.294,6.317
01349840,0.91964304,0.881,4.983,,,,,,,,,,,,,,,,,,,0.64044976,0.484,7.966,0.6505203,0.386,2.301,0.06013653,0.039,5.014,0.62543035,0.414,2.447,0.3463873,0.121,1.97,0.3024393,0.092,1.596,0.5435349,0.309,0.72,0.07421253,0.028,4.171,-0.0587495,0.0,2.639,-0.19668144,0.032,1.92,0.55223763,0.308,3.316,,,,-0.252954,0.0,77.82
01349950,0.89188045,0.835,5.802,,,,,,,,,,,,,,,,,,,0.6303136,0.528,3.908,-0.08193502,0.001,11.571,0.5253342,0.488,13.919,0.79141206,0.707,3.02,0.4122205,0.413,2.434,0.47777712,0.559,1.774,0.40401033,0.387,0.617,0.50233287,0.365,2.668,0.35530844,0.315,0.377,0.026430134,0.034,2.801,0.6497423,0.582,3.012,,,,0.543853,0.596,22.184
01357500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28577298,0.549,17.19
01362370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.237878,0.354,26.743
01364959,0.92841643,0.877,1.071,,,,,,,,,,,,,,,,,,,0.5307247,0.374,3.614,,,,,,,0.53246045,0.419,7.916,0.033052716,0.062,0.882,0.12774397,0.1,0.737,0.25025222,0.257,0.623,0.085484624,0.092,5.6,0.11392932,0.039,4.139,0.002929899,0.003,1.604,0.38119027,0.29,2.309,,,,,,
01389500,0.9364486,0.947,3.943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01398000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
