staid,00010_kge,00010_r2,00010_pbias,00095_kge,00095_r2,00095_pbias,00300_kge,00300_r2,00300_pbias,00400_kge,00400_r2,00400_pbias,00405_kge,00405_r2,00405_pbias,00600_kge,00600_r2,00600_pbias,00605_kge,00605_r2,00605_pbias,00618_kge,00618_r2,00618_pbias,00660_kge,00660_r2,00660_pbias,00665_kge,00665_r2,00665_pbias,00681_kge,00681_r2,00681_pbias,00915_kge,00915_r2,00915_pbias,00925_kge,00925_r2,00925_pbias,00930_kge,00930_r2,00930_pbias,00935_kge,00935_r2,00935_pbias,00940_kge,00940_r2,00940_pbias,00945_kge,00945_r2,00945_pbias,00955_kge,00955_r2,00955_pbias,71846_kge,71846_r2,71846_pbias,80154_kge,80154_r2,80154_pbias
01189995,0.9659611,0.937,1.174,0.0890393,0.066,12.791,0.7758747,0.67,9.274,-1.698295,0.157,8.767,0.26476443,0.137,1.189,-0.42206347,0.171,7.869,0.08815205,0.087,8.248,-0.5269775,0.214,15.242,0.08982909,0.188,71.213,0.28651032,0.147,35.784,,,,-0.23022115,0.018,13.888,-0.33912855,0.069,5.984,0.020968046,0.096,0.624,0.18667483,0.058,8.836,0.09091762,0.189,4.036,-0.32621685,0.044,19.428,0.64432377,0.437,9.701,-0.11435128,0.0,0.96,,,
01192500,0.8951696,0.871,7.122,-0.041206878,0.027,14.649,0.6695185,0.516,2.418,-1.657241,0.15,11.442,0.057232108,0.036,47.105,-0.54373413,0.17,49.705,0.0550679,0.047,32.888,-0.24757074,0.011,45.686,-0.44704857,0.025,78.671,-0.33707806,0.026,57.64,,,,-0.17297694,0.01,20.726,-0.35117105,0.082,10.797,-0.0063722944,0.096,0.324,-0.047546186,0.001,9.176,0.109118715,0.182,1.9,-0.32928723,0.078,26.906,0.01623239,0.002,11.78,-0.4885994,0.004,77.991,,,
01192883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01193500,0.80783355,0.842,17.029,0.17721516,0.077,9.156,0.535741,0.378,12.152,-2.0480824,0.02,13.17,,,,0.55312306,0.439,4.032,0.5136151,0.535,7.89,0.63676083,0.504,16.129,-1.7429533,0.174,66.203,0.23865747,0.39,38.937,,,,,,,,,,,,,,,,,,,,,,,,,-0.032526016,0.0,17.239,,,
01196500,0.84937507,0.873,12.047,0.1711889,0.172,22.557,0.7914868,0.634,4.361,-2.041604,0.129,12.664,-0.25902098,0.001,43.527,-0.45686582,0.109,57.365,0.22121812,0.131,2.597,-0.6948902,0.205,86.196,-1.7027748,0.047,246.283,-0.5523912,0.017,94.033,,,,-0.3191527,0.05,7.924,-0.42950475,0.116,6.494,0.108539745,0.194,2.98,0.33461097,0.181,31.679,0.19019777,0.32,8.037,-0.4649974,0.147,25.897,-0.3840467,0.084,0.255,-0.15157749,0.017,23.016,,,
01198125,0.7647294,0.858,22.338,-0.038804684,0.006,15.217,0.89690524,0.823,0.09,-3.0821738,0.055,5.742,0.022293383,0.021,38.848,0.27744445,0.144,17.109,0.47564822,0.268,3.43,0.21611877,0.174,24.617,0.3396038,0.336,15.626,0.07898714,0.333,27.96,,,,-0.033905108,0.0,9.952,0.19838572,0.08,7.947,0.2820891,0.205,13.646,0.6160901,0.458,14.392,0.3301238,0.296,15.21,0.20252477,0.126,20.096,0.55688864,0.328,0.696,0.2461728,0.108,28.813,,,
01201487,0.8426444,0.83,12.657,0.1154044,0.119,35.982,0.6523481,0.544,21.887,-4.439532,0.18,18.694,0.015148689,0.012,39.586,-1.8363864,0.0,184.611,0.2594405,0.083,20.295,-2.5817182,0.006,264.353,-0.021799246,0.138,69.708,0.15242694,0.089,28.361,,,,-0.060660005,0.003,29.624,-0.063858576,0.003,27.743,0.12856968,0.159,18.542,0.30023006,0.451,61.652,0.26675516,0.292,19.336,0.10622371,0.147,55.988,0.0029219773,0.003,19.38,-0.07604106,0.083,71.023,,,
01205500,0.96058804,0.932,1.05,-0.0034067966,0.003,4.229,0.8188165,0.718,2.63,-2.4404113,0.226,2.417,,,,0.073850185,0.007,7.551,0.60598457,0.379,8.722,0.6496093,0.467,10.992,-0.25172478,0.005,47.533,-0.009618961,0.009,7.449,,,,,,,,,,,,,,,,,,,,,,,,,-0.52797455,0.092,37.048,,,
01208500,0.85794777,0.897,13.067,0.36947232,0.323,16.981,0.66997206,0.484,12.51,-0.5748234,0.054,12.705,0.117349714,0.107,17.636,0.18603332,0.063,22.341,0.362596,0.133,1.461,0.072991006,0.04,25.411,-0.74951756,0.019,152.14,-0.59333384,0.028,135.8,,,,0.28536326,0.127,1.573,0.025866032,0.066,14.178,0.052865777,0.056,12.35,0.50416476,0.324,5.366,0.03847471,0.106,14.605,0.27982682,0.215,0.928,0.3593693,0.239,8.084,-0.198451,0.084,51.496,,,
01208990,0.6930853,0.87,29.838,0.38929516,0.212,23.004,0.43792024,0.358,34.264,-5.5403447,0.162,32.347,,,,0.23128155,0.162,32.241,0.58368534,0.431,22.209,0.22342339,0.231,45.167,0.47346598,0.343,15.495,0.7330799,0.57,2.895,,,,,,,,,,,,,,,,,,,,,,,,,-0.052175604,0.0,35.763,,,
