staid,00010_kge,00010_pbias,00010_r2,00095_kge,00095_pbias,00095_r2,00300_kge,00300_pbias,00300_r2,00400_kge,00400_pbias,00400_r2,00405_kge,00405_pbias,00405_r2,00600_kge,00600_pbias,00600_r2,00605_kge,00605_pbias,00605_r2,00618_kge,00618_pbias,00618_r2,00660_kge,00660_pbias,00660_r2,00665_kge,00665_pbias,00665_r2,00681_kge,00681_pbias,00681_r2,00915_kge,00915_pbias,00915_r2,00925_kge,00925_pbias,00925_r2,00930_kge,00930_pbias,00930_r2,00935_kge,00935_pbias,00935_r2,00940_kge,00940_pbias,00940_r2,00945_kge,00945_pbias,00945_r2,00955_kge,00955_pbias,00955_r2,71846_kge,71846_pbias,71846_r2,80154_kge,80154_pbias,80154_r2
1054200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1097000,,,,,,,,,,,,,,,,,,,,,,,,,0.25681620836257935,4.79107666015625,0.18018268048763275,0.27711373567581177,6.306009769439697,0.1328764408826828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111500,0.8335872888565063,1.021398663520813,0.7274518609046936,0.526570200920105,2.7519853115081787,0.37649035453796387,0.7871739864349365,0.15096992254257202,0.6433892250061035,-0.16533637046813965,0.661177396774292,0.004744241014122963,,,,0.10100114345550537,4.175354957580566,0.07458624988794327,-0.08317065238952637,27.500789642333984,0.0393812321126461,,,,,,,-0.21493542194366455,37.110477447509766,0.0033790667075663805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1116500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1118500,0.8963004350662231,5.75472354888916,0.8543477654457092,0.17180031538009644,4.6797966957092285,0.07329217344522476,0.8383804559707642,2.61580491065979,0.7127311825752258,0.30069953203201294,1.5725828409194946,0.19602468609809875,,,,0.3821485638618469,4.576516151428223,0.14826318621635437,0.12562114000320435,12.43950366973877,0.04619632288813591,0.26368582248687744,4.199134349822998,0.11467671394348145,0.04822045564651489,34.16654968261719,0.11461906135082245,0.12187880277633667,14.977593421936035,0.05024532228708267,,,,0.3980189561843872,13.829906463623047,0.19466271996498108,0.6415801644325256,19.34248924255371,0.4905071258544922,0.09338754415512085,6.177434921264648,0.00928142387419939,,,,0.07947981357574463,5.7780632972717285,0.007562567014247179,,,,,,,0.19672590494155884,7.506122589111328,0.06582123786211014,,,
1124000,0.5638366937637329,8.736780166625977,0.4889160692691803,0.36819666624069214,15.005760192871094,0.48810651898384094,0.8621018528938293,1.2578822374343872,0.7927507758140564,0.4691266417503357,0.15167510509490967,0.2740679383277893,,,,0.3299809694290161,1.5081896781921387,0.1862657070159912,0.43896758556365967,8.540353775024414,0.22561398148536682,,,,,,,-0.0685340166091919,41.866790771484375,0.11610604077577591,,,,0.4473989009857178,4.781243324279785,0.4589110314846039,0.579578161239624,16.320449829101562,0.5000726580619812,,,,,,,0.40994423627853394,34.05451583862305,0.5412818789482117,-0.06310057640075684,1.7459224462509155,0.0009271953604184091,,,,,,,,,
1125100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1127000,0.8961484432220459,0.46990934014320374,0.8569735884666443,0.4935569167137146,6.694302082061768,0.24813096225261688,0.8442144989967346,0.23044522106647491,0.7887359261512756,0.3134504556655884,0.8642741441726685,0.14374998211860657,,,,0.44466495513916016,10.951029777526855,0.2618705630302429,0.3606242537498474,0.734817385673523,0.13012640178203583,0.08957725763320923,2.1312248706817627,0.19346730411052704,0.3982507586479187,8.107686042785645,0.3372095823287964,0.2787550687789917,13.908256530761719,0.09113290905952454,,,,0.5527387857437134,15.12470817565918,0.3614344000816345,0.37368321418762207,1.3395706415176392,0.28152358531951904,,,,,,,0.2202664613723755,15.854790687561035,0.161081001162529,0.09284037351608276,22.092952728271484,0.015775028616189957,,,,0.35731345415115356,27.561965942382812,0.23638027906417847,,,
1170100,0.7869803309440613,11.156426429748535,0.8267484307289124,0.13239818811416626,1.2758625745773315,0.1506124585866928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1184000,0.7654744982719421,14.752477645874023,0.9172250032424927,0.600789487361908,10.07376766204834,0.3890502154827118,0.8635029196739197,1.1673827171325684,0.7829755544662476,0.3856353163719177,1.1079773902893066,0.2493591606616974,0.0709458589553833,16.431873321533203,0.21403934061527252,0.49526941776275635,6.560166835784912,0.2506093382835388,0.1419023871421814,1.5022974014282227,0.05643165484070778,0.3098928928375244,8.54221248626709,0.0995863825082779,0.4110664129257202,8.672016143798828,0.24280229210853577,0.23880702257156372,0.6652085185050964,0.10719145089387894,,,,0.5130186676979065,4.011998176574707,0.2658298909664154,0.22333383560180664,26.38605499267578,0.13741672039031982,0.5218062996864319,3.065383195877075,0.27393853664398193,0.563188910484314,13.634710311889648,0.4085138440132141,0.4306369423866272,0.2862318456172943,0.19807329773902893,0.406033456325531,1.850724458694458,0.20562712848186493,0.35670119524002075,17.390207290649414,0.17390337586402893,0.21039968729019165,21.460975646972656,0.10785502195358276,0.3528704047203064,0.9878050684928894,0.12468139082193375
