staid,00010_kge,00010_r2,00010_pbias,00095_kge,00095_r2,00095_pbias,00300_kge,00300_r2,00300_pbias,00400_kge,00400_r2,00400_pbias,00405_kge,00405_r2,00405_pbias,00600_kge,00600_r2,00600_pbias,00605_kge,00605_r2,00605_pbias,00618_kge,00618_r2,00618_pbias,00660_kge,00660_r2,00660_pbias,00665_kge,00665_r2,00665_pbias,00681_kge,00681_r2,00681_pbias,00915_kge,00915_r2,00915_pbias,00925_kge,00925_r2,00925_pbias,00930_kge,00930_r2,00930_pbias,00935_kge,00935_r2,00935_pbias,00940_kge,00940_r2,00940_pbias,00945_kge,00945_r2,00945_pbias,00955_kge,00955_r2,00955_pbias,71846_kge,71846_r2,71846_pbias,80154_kge,80154_r2,80154_pbias
01208990,0.90247846,0.908,3.749,0.5928373,0.396,3.303,0.6927174,0.584,1.163,-2.6141577,0.032,2.359,,,,0.15352927,0.173,15.264,0.11149424,0.228,18.682,,,,,,,0.43913388,0.386,4.558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01331095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.057760492,0.167,13.244
01349150,0.8580923,0.887,5.425,0.5398883,0.569,11.352,0.6643817,0.52,1.242,-3.269645,0.008,2.5,0.5397013,0.315,5.738,0.5907525,0.619,13.797,0.15059796,0.217,15.415,0.5969246,0.611,11.765,0.58792996,0.38,6.215,0.38975623,0.31,11.308,,,,0.37646422,0.193,11.3,0.4511133,0.268,11.65,0.60121155,0.395,9.055,0.26272374,0.071,5.029,0.62559545,0.44,10.644,0.5319236,0.723,19.462,0.3468481,0.187,9.7,-0.017870039,0.042,11.213,-0.011704995,0.06,6.86
01349840,0.9215004,0.864,2.384,,,,,,,,,,,,,,,,,,,0.50748974,0.354,21.208,0.5266692,0.328,23.889,0.12610023,0.144,19.702,0.7283539,0.574,3.287,0.66532785,0.452,5.405,0.64569294,0.431,6.907,0.7898184,0.631,4.242,0.22428301,0.196,3.952,0.23047496,0.102,2.781,0.12312306,0.017,5.682,0.62707114,0.42,5.055,,,,,,
01349950,0.85194457,0.893,5.522,,,,,,,,,,,,,,,,,,,0.6039386,0.385,6.98,-0.2861298,0.009,41.745,0.18851924,0.252,21.384,,,,0.49610454,0.444,1.36,0.5042849,0.472,0.17,0.55311847,0.472,1.33,0.4228687,0.288,2.489,0.34155324,0.221,0.359,-0.092280835,0.007,1.861,0.34075493,0.495,26.27,,,,,,
01357500,,,,0.15179384,0.041,6.255,,,,0.27596778,0.139,1.002,-0.38076773,0.012,20.878,,,,0.41675925,0.464,5.066,,,,0.3080137,0.157,9.417,0.3354518,0.406,11.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3884087,0.567,2.625
01362370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01364959,0.8580645,0.865,3.318,,,,,,,,,,,,,,,,,,,0.58615494,0.517,23.165,,,,,,,0.6655112,0.481,7.163,0.0017990216,0.007,6.401,0.1325815,0.028,7.377,0.24829626,0.084,4.724,0.04818418,0.039,3.13,0.0447761,0.109,5.941,-0.11938218,0.006,5.993,0.6135564,0.451,8.297,,,,,,
01389500,0.8830636,0.921,9.489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01398000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01421618,0.8912656,0.88,3.805,,,,,,,,,,,,,,,,,,,0.6223098,0.406,6.704,0.456923,0.237,16.492,0.29371122,0.171,37.866,,,,0.75657123,0.689,4.855,0.7108118,0.639,4.55,0.32391536,0.302,7.931,0.2744407,0.177,6.599,0.120269604,0.19,11.758,-0.19200988,0.005,6.431,0.59288496,0.732,16.137,,,,,,
01422738,0.7636033,0.678,15.599,,,,,,,,,,,,,,,,,,,0.4145277,0.189,2.681,0.50676024,0.254,17.537,0.2448976,0.088,25.787,0.16910933,0.031,11.153,0.57119656,0.379,17.47,0.5618186,0.377,17.015,0.6159171,0.543,15.867,0.19244224,0.085,19.676,0.111739986,0.183,33.764,0.29150903,0.102,19.542,0.3588821,0.254,14.964,,,,,,
01422747,0.78751373,0.886,6.143,,,,,,,,,,,,,,,,,,,0.65169066,0.428,2.974,0.40854418,0.464,0.033,0.6655417,0.589,10.461,,,,0.50080395,0.531,6.195,0.47630385,0.531,5.283,0.55457664,0.729,14.513,0.45425257,0.452,8.142,0.3599867,0.636,18.503,-0.14682226,0.002,6.861,0.33404255,0.575,26.747,,,,,,
143400680,0.84591955,0.864,3.422,,,,,,,,,,,,,,,,,,,0.74120355,0.584,9.411,0.061842676,0.086,9.654,0.20144784,0.17,3.746,0.84713525,0.744,4.255,-0.11792583,0.01,0.028,0.28946415,0.252,2.514,0.20698154,0.256,0.04,0.44942507,0.259,2.041,0.15195692,0.13,0.975,0.47379592,0.445,0.469,0.30297863,0.311,1.631,,,,,,
01434021,0.93086064,0.891,0.204,,,,,,,,,,,,,,,,,,,0.62000144,0.428,4.982,0.5264994,0.375,10.086,0.3251929,0.096,8.211,0.8541063,0.87,12.883,0.5569277,0.51,5.893,0.70992994,0.649,6.885,0.51865566,0.297,4.443,0.14951518,0.125,9.419,0.08364508,0.114,1.259,0.6813576,0.755,4.936,0.74115914,0.7,7.592,,,,,,
01434025,0.90864825,0.873,5.471,0.19583748,0.043,3.921,,,,-0.47337928,0.025,3.206,-0.28628236,0.001,61.587,,,,,,,0.5113216,0.478,6.337,0.10941603,0.146,48.413,0.16792724,0.138,4.763,0.72899806,0.587,0.722,0.69442874,0.522,2.306,0.72911805,0.56,0.282,0.5207925,0.291,2.507,0.29781947,0.158,4.605,0.4390971,0.325,3.022,0.8965907,0.831,2.401,0.73397493,0.553,4.275,-1.7654885,0.062,243.604,,,
01435000,0.8738591,0.873,0.779,,,,,,,,,,,,,,,,,,,0.6617646,0.574,6.529,-0.17788652,0.003,12.299,0.34933496,0.377,13.347,0.78396326,0.755,0.791,0.34487444,0.26,1.644,0.4460563,0.345,3.16,0.35518247,0.412,1.643,0.3202099,0.163,0.317,0.40273002,0.449,7.637,0.7284151,0.643,2.856,0.75608236,0.675,2.25,,,,,,
01463500,0.9372168,0.901,0.179,0.29459602,0.379,0.483,0.74442214,0.676,2.037,-0.32433563,0.084,2.121,0.1176105,0.17,18.014,0.27327266,0.143,1.647,0.24632692,0.17,4.918,-0.033177868,0.004,2.525,0.50829333,0.383,7.344,-0.022515545,0.06,15.774,,,,0.2186177,0.186,5.743,0.35438067,0.302,5.473,0.38700572,0.439,0.32,0.33137456,0.179,3.014,0.48473194,0.593,2.644,0.6260534,0.425,6.068,0.09225988,0.121,6.851,0.607772,0.497,7.666,0.06248793,0.111,8.114
01466500,0.85982186,0.79,0.23,0.42098862,0.184,4.303,0.6301667,0.437,14.427,-0.83901346,0.003,11.291,,,,0.47340974,0.276,5.311,,,,0.46881312,0.241,10.029,,,,0.112828195,0.018,13.845,0.85129726,0.774,5.843,0.20504701,0.047,1.728,0.14720634,0.026,1.695,-0.17067236,0.0,1.539,-0.03326845,0.007,3.235,-0.084147535,0.003,2.349,0.33194512,0.128,13.601,0.6700296,0.576,3.403,,,,,,
01472157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01477120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01480617,0.87989515,0.785,3.008,0.5317823,0.363,3.175,0.596032,0.387,0.037,-0.10802047,0.011,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01480870,0.8943401,0.81,3.376,0.43419775,0.289,3.299,0.54514575,0.306,0.593,-0.04942594,0.003,1.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01481000,0.882712,0.839,3.199,0.47981432,0.318,2.533,0.6464189,0.471,1.371,-0.099621035,0.009,0.849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01491000,0.89260864,0.825,2.992,0.47481894,0.276,3.298,0.74204755,0.66,0.789,0.12851654,0.017,0.08,0.1310633,0.104,37.327,0.11299251,0.062,1.557,0.6088412,0.502,0.207,0.34568188,0.294,2.669,0.58314174,0.418,6.328,0.6946215,0.642,1.038,0.7303582,0.647,3.012,,,,,,,,,,,,,,,,,,,0.3596628,0.304,0.301,0.27936065,0.265,9.778,0.55107605,0.463,3.413
01534000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01540500,,,,,,,,,,,,,,,,-0.0018342538,0.118,12.88,-0.12555785,0.133,26.104,,,,,,,0.2501374,0.221,25.733,,,,,,,,,,,,,,,,,,,,,,,,,0.49971616,0.562,10.837,0.06122514,0.094,13.294
01545600,0.7933404,0.817,6.043,,,,,,,,,,,,,,,,,,,0.44252816,0.438,19.705,,,,,,,-0.25688097,0.011,37.603,0.25760671,0.108,8.871,0.2794559,0.079,5.181,0.4772907,0.274,4.506,0.3872767,0.178,8.458,0.4549301,0.254,7.858,0.14006937,0.19,2.978,0.7975647,0.777,3.388,,,,,,
01549700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01553500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.051042117,0.049,0.141
01558000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01567000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01576754,,,,,,,,,,-0.31771356,0.043,1.216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.16653092,0.064,46.291
01581752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158397967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01591000,0.91508013,0.894,5.232,-0.20487063,0.002,0.367,,,,0.26421803,0.07,1.066,,,,0.28104085,0.113,1.663,0.16740902,0.116,14.496,0.37703517,0.398,2.918,0.12722284,0.068,4.522,0.21474765,0.327,29.672,,,,,,,,,,,,,,,,,,,,,,,,,0.13173026,0.21,0.437,0.29978678,0.405,30.336
01594000,,,,,,,,,,,,,,,,0.28962755,0.378,9.791,0.2760592,0.419,18.769,0.44406098,0.42,4.141,0.43294325,0.656,23.372,0.24555808,0.43,30.091,,,,,,,,,,,,,,,,,,,,,,0.32064134,0.255,8.005,0.35350788,0.424,11.387,0.31058106,0.39,22.235
